恢谐幽默 诙谐幽默
恰商 洽商
恰如其份 恰如其分
恰谈业务 洽谈业务
恶惯满盈 恶贯满盈
恶意咀咒 恶意诅咒
恶灌满盈 恶贯满盈
恶耗 噩耗
悚人听闻 耸人听闻
悬梁刺股 悬梁刺骨
悬梁刺骨 悬梁刺股
情不自尽 情不自禁
惨绝人圜 惨绝人寰
惨绝人环 　惨绝人寰
惨绝人环 惨绝人寰
惨遭屠戳 惨遭屠戮
惨酷无情 残酷无情
惩一禁百 惩一儆百
惩前毙后 惩前毖后
惮精竭虑 殚精竭虑
想往光明 向往光明
惴揣不安 惴惴不安
惹事生非 惹是生非
意兴阑姗 意兴阑珊
意正词严 义正词严
感人肺俯 感人肺腑
感人肺府 感人肺腑
感恩带德 感恩戴德
感恩载德 感恩戴德
感情融恰 感情融洽
愤世疾俗 愤世嫉俗
愤发图强 奋发图强
愤笔急书 奋笔疾书
愤闷不平 愤懑不平
慢不经心 漫不经心
戊戍变法 戊戌变法
戍戌政变 戊戌政变
成下之盟 城下之盟
成出不穷 层出不穷
成绩蜚然 成绩斐然
戒骄戒燥 戒骄戒躁
战战惊惊 战战兢兢
战略部暑 战略部署
戮穿阴谋 戳穿阴谋
戳力同心 戮力同心
手不失卷 手不释卷
手头宽余 手头宽裕
手屈一指 首屈一指
手急眼快 手疾眼快
手溜弹 手榴弹
打架斗欧 打架斗殴
打腊 打蜡
打躬作楫 打躬作揖
打躬作辑 打躬作揖
执谜不悟 执迷不悟
扬常而去 扬长而去
扬扬洒洒 洋洋洒洒
扶老偕幼 扶老携幼
批沙拣金 披沙拣金
批漏百出 纰漏百出
抓耳扰腮 抓耳挠腮
抔水车薪 杯水车薪
投投是道 头头是道
投机捣把 投机倒把
投桃抱李 投桃报李
投鼠计器 投鼠忌器
抛地有声 掷地有声
报怨不堪 抱怨不堪
报筹 报酬
披星带月 披星戴月
拌脚之石 绊脚之石
拒谏是非 拒谏饰非
拙拙逼人 咄咄逼人
招惹事非 招惹是非
招摇装骗 招摇撞骗
招摇闯骗 招摇撞骗
拥塞不通 拥壅不通
拥带 拥戴
拨乱返正 拨乱反正
括不知耻 恬不知耻
拼拼揍揍 拼拼凑凑
指手划脚 指手画脚
指高气扬 趾高气扬
按居乐业 安居乐业
按步就班 按部就班
按磨 按摩
按装 安装
按装机器 安装机器
按途索骥 按图索骥
挑拨事非 挑拨是非
挑肥捡瘦 挑肥拣瘦
挖墙角 挖墙脚
挤挤一堂 济济一堂
挤身三强 跻身三强
振撼 震撼
振济灾民 赈济灾民
振笔急书 振笔疾书
挺而走险 铤而走险
捉襟见纣 捉襟见肘
捶心泣血 椎心泣血
掂斤拨两 掂斤播两
掇句成文 缀句成文
接长补短 截长补短
推崇倍至 推崇备至
推心至腹 推心置腹
推托责任 推脱责任
推脱生病 推托生病
推陈相见 推诚相见
措火积薪 厝火积薪
描模 描摹
提心掉胆 提心吊胆
提纲契领 提纲挈领
提纲携领 提纲挈领
插科打浑 插科打诨
插血为盟 歃血为盟
揠旗息鼓 偃旗息鼓
揣揣不安 惴惴不安
搔痒病 瘙痒病
搬门弄斧 班门弄斧
摇摇欲堕 摇摇欲坠
摒气凝神 屏气凝神
撕杀 厮杀
支无其词 支吾其词
改弦易章 改弦易张
改弦更章 改弦更张
改斜归正 改邪归正
攻城掠地 攻城略地
故作恣态 故作姿态
故作矜恃 故作矜持
故技重演 故伎重演
敖敖待哺 嗷嗷待哺
敲榨勒索 敲诈勒索
敷演塞责 敷衍塞责
文恬武嘻 文恬武嬉
文诌诌 文绉绉
斥之以鼻 嗤之以鼻
斧底抽薪 釜底抽薪
斩钉接铁 斩钉截铁
断壁残桓 断壁残垣
断壁颓桓 断壁颓垣
断章取意 断章取义
新颍别致 新颖别致
旁证博引 旁征博引
旅力过人 膂力过人
